ajuda do maioral das mulas;https://iisg.amsterdam/resource/hisco/code/hisco/62890
ajuda do maioral das mulas;https://iisg.amsterdam/hisco/code/status/33
ajuda do maioral de ovelhas;https://iisg.amsterdam/resource/hisco/code/hisco/62430
ajuda do maioral de ovelhas;https://iisg.amsterdam/hisco/code/status/33
ajuda do maioral dos porcos;https://iisg.amsterdam/resource/hisco/code/hisco/62440
ajuda do maioral dos porcos;https://iisg.amsterdam/hisco/code/status/33
ajuda do pastor;https://iisg.amsterdam/resource/hisco/code/hisco/62430
ajuda do pastor;https://iisg.amsterdam/hisco/code/status/33
ajuda do porqueiro;https://iisg.amsterdam/resource/hisco/code/hisco/62440
ajuda do porqueiro;https://iisg.amsterdam/hisco/code/status/33
ajuda do vareiro;https://iisg.amsterdam/resource/hisco/code/hisco/62440
ajuda do vareiro;https://iisg.amsterdam/hisco/code/status/33
ajuda dos bois;https://iisg.amsterdam/resource/hisco/code/hisco/62890
ajuda dos bois;https://iisg.amsterdam/hisco/code/status/33
ajuda dos carneiros;https://iisg.amsterdam/resource/hisco/code/hisco/62430
ajuda dos carneiros;https://iisg.amsterdam/hisco/code/status/33
ajuda dos chibos;https://iisg.amsterdam/resource/hisco/code/hisco/62490
ajuda dos chibos;https://iisg.amsterdam/hisco/code/status/33
ajuda dos leitões;https://iisg.amsterdam/resource/hisco/code/hisco/62440
ajuda dos leitões;https://iisg.amsterdam/hisco/code/status/33
ajudante;https://iisg.amsterdam/hisco/code/status/33
ajudante;https://iisg.amsterdam/resource/hisco/code/hisco/99998
ajudante de carpinteiro;https://iisg.amsterdam/resource/hisco/code/hisco/81000
ajudante de carpinteiro;https://iisg.amsterdam/hisco/code/status/23
ajudante de chaufeur;https://iisg.amsterdam/resource/hisco/code/hisco/98590
ajudante de chaufeur;https://iisg.amsterdam/hisco/code/status/33
ajudante de motorista;https://iisg.amsterdam/resource/hisco/code/hisco/98590
ajudante de motorista;https://iisg.amsterdam/hisco/code/status/33
ajudante de máquinas (navios);https://iisg.amsterdam/resource/hisco/code/hisco/98220
ajudante de máquinas (navios);https://iisg.amsterdam/hisco/code/status/33
ajudante do fiel da fabrica e selador;https://iisg.amsterdam/resource/hisco/code/hisco/39140
ajudante do fiel da fabrica e selador;https://iisg.amsterdam/hisco/code/status/33
ajuntadeira (têxtil);https://iisg.amsterdam/resource/hisco/code/hisco/75230
ajuntadeiro / ajuntadeira (meio rural);https://iisg.amsterdam/resource/hisco/code/hisco/63290
alargador;https://iisg.amsterdam/resource/hisco/code/hisco/75670
alavoeiro;https://iisg.amsterdam/resource/hisco/code/hisco/62590
albardeiro;https://iisg.amsterdam/resource/hisco/code/hisco/80320
albardeiro;https://iisg.amsterdam/resource/hisco/code/product/29
alcaide;https://iisg.amsterdam/resource/hisco/code/hisco/31000
alcaide geral ilha faial;https://iisg.amsterdam/resource/hisco/code/hisco/31000
aleijado;https://iisg.amsterdam/resource/hisco/code/hisco/-1
aleijado;https://iisg.amsterdam/hisco/code/relation/41
alfaiate/alfaiata;https://iisg.amsterdam/resource/hisco/code/hisco/79100
